"cause","effect"
"ADCY9","ADCY5"
"ADCY9","ADCY6"
"ADCY9","ADCY7"
"ADCY9","AKAP9"
"ADCY9","EDN1"
"ADCY9","EDNRA"
"ADCY9","ENTPD2"
"ADCY9","GNAI1"
"ADCY9","GNAI3"
"ADCY9","GNAL"
"ADCY9","GNAS"
"ADCY9","GNAZ"
"ADCY9","GNG10"
"ADCY9","GNG4"
"ADCY9","GNG7"
"ADCY9","PDE10A"
"ADCY9","PDE1C"
"ADCY9","PDE2A"
"ADCY9","PDE4A"
"ADCY9","PDE5A"
"ADCY9","PDE6B"
"ADCY9","PDE6C"
"ADCY9","PDE7B"
"ADCY9","PDE8A"
"ADCY9","PRKCD"
"ADCY9","PRKCE"
"ADCY9","RAPGEF3"
"ADCY9","RAPGEF4"
"ADD1","ACE"
"ADD1","CASP3"
"ADD1","DMTN"
"ADD2","ADD1"
"ADD2","ANKRD29"
"ADD2","DMTN"
"ADD2","XPO5"
"ADH1B","ADH1C"
"ADH1B","ALDH1B1"
"ADH1B","AOX1"
"ADH1B","GSTA5"
"ADH1B","MAOA"
"ADH1C","ALDH3B1"
"ADH6","ADHFE1"
"ADH6","ALDH3B1"
"ADH6","CYP2E1"
"ADH6","MGST2"
"ADHFE1","GSTP1"
"ADHFE1","LDHA"
"ADHFE1","UPP2"
"ADIPOQ","HELZ2"
"ADIPOQ","RARRES2"
"ADK","ADA"
"ADK","ADHFE1"
"ADK","ADORA1"
"ADK","ADORA2A"
"ADK","ADORA3"
"ADK","AK2"
"ADK","AK4"
"ADK","AK5"
"ADK","AK8"
"ADK","APRT"
"ADK","CECR1"
"ADK","ENPP1"
"ADK","ENTPD8"
"ADK","GSTP1"
"ADK","LDHA"
"ADK","MDH2"
"ADK","NQO1"
"ADK","NT5C1B"
"ADK","PDE10A"
"ADK","PDE1C"
"ADK","PDE2A"
"ADK","PDE4A"
"ADK","PDE7B"
"ADK","PDE8A"
"ADK","PNP"
